trial,stimulus,prime,word,responsetime,accuracy
776,63,NL2,excite,504,1
777,37,NH1,excite,532,1
778,33,NH1,fatal,537,1
779,17,PL1,relax,469,1
780,2,PH1,payday,625,1
781,44,NH2,dismal,526,1
782,56,NL1,payday,551,1
783,10,PH2,payday,513,1
784,38,NH1,payday,546,1
785,16,PH2,dismal,611,1
786,51,NL1,fatal,604,1
787,22,PL1,dismal,555,1
788,41,NH2,fatal,589,1
789,42,NH2,arrest,517,1
790,53,NL1,relax,588,1
791,23,PL1,fatal,460,1
792,12,PH2,comfy,505,1
793,19,PL1,excite,618,2
794,54,NL1,comfy,535,1
795,30,PL2,dismal,593,1
796,55,NL1,excite,682,1
797,48,NH2,comfy,521,1
798,27,PL2,excite,557,1
799,63,NL2,excite,404,1
800,39,NH1,relax,543,1
801,58,NL2,dismal,526,1
802,64,NL2,payday,459,1
803,50,NL1,dismal,654,1
804,36,NH1,dismal,493,1
805,40,NH1,comfy,457,1
806,49,NL1,morgue,637,1
807,34,NH1,arrest,520,1
808,59,NL2,fatal,619,1
809,14,PH2,arrest,429,1
810,26,PL2,comfy,482,1
811,62,NL2,comfy,514,1
812,18,PL1,comfy,519,1
813,21,PL1,morgue,478,1
814,8,PH1,dismal,551,1
815,25,PL2,relax,542,1
816,5,PH1,fatal,650,1
817,47,NH2,relax,508,1
818,7,PH1,morgue,507,1
819,31,PL2,fatal,569,1
820,32,PL2,arrest,597,1
821,15,PH2,morgue,476,1
822,61,NL2,relax,460,1
823,45,NH2,excite,446,1
824,35,NH1,morgue,464,1
825,1,PH1,excite,444,1
826,13,PH2,fatal,608,1
827,57,NL2,morgue,388,1
828,20,PL1,payday,543,1
829,3,PH1,relax,582,1
830,6,PH1,arrest,484,1
831,46,NH2,payday,551,1
832,28,PL2,payday,434,1
833,24,PL1,arrest,457,1
834,60,NL2,arrest,452,1
835,4,PH1,comfy,430,1
836,43,NH2,morgue,366,2
837,32,PL2,arrest,676,1
838,24,PL1,arrest,566,1
839,54,NL1,comfy,438,1
840,36,NH1,dismal,531,1
841,44,NH2,dismal,416,1
842,30,PL2,dismal,386,2
843,15,PH2,morgue,637,1
844,29,PL2,morgue,592,1
845,9,PH2,excite,579,1
846,40,NH1,comfy,598,1
847,42,NH2,arrest,364,1
848,27,PL2,excite,487,1
849,61,NL2,relax,478,1
850,1,PH1,excite,587,1
851,59,NL2,fatal,533,1
852,55,NL1,excite,552,1
853,63,NL2,excite,488,1
854,35,NH1,morgue,533,1
855,41,NH2,fatal,408,1
856,8,PH1,dismal,474,1
857,19,PL1,excite,495,1
858,20,PL1,payday,417,1
859,26,PL2,comfy,454,1
860,38,NH1,payday,636,1
861,16,PH2,dismal,628,1
862,11,PH2,relax,594,1
863,3,PH1,relax,600,1
864,12,PH2,comfy,593,1
865,28,PL2,payday,555,1
866,7,PH1,morgue,346,1
867,58,NL2,dismal,517,1
868,33,NH1,fatal,431,1
869,52,NL1,arrest,551,1
870,34,NH1,arrest,473,1
871,10,PH2,payday,424,1
872,43,NH2,morgue,543,2
873,56,NL1,payday,615,1
874,37,NH1,excite,618,1
875,13,PH2,fatal,486,1
876,21,PL1,morgue,500,1
877,47,NH2,relax,633,1
878,14,PH2,arrest,630,1
879,50,NL1,dismal,482,1
880,25,PL2,relax,521,1
881,57,NL2,morgue,583,1
882,49,NL1,morgue,491,1
883,51,NL1,fatal,502,1
884,18,PL1,comfy,413,1
885,45,NH2,excite,527,1
886,4,PH1,comfy,561,1
887,31,PL2,fatal,484,1
888,60,NL2,arrest,517,1
889,48,NH2,comfy,567,1
890,53,NL1,relax,491,1
891,39,NH1,relax,570,1
892,22,PL1,dismal,471,1
893,6,PH1,arrest,555,1
894,64,NL2,payday,512,1
895,17,PL1,relax,587,1
896,2,PH1,payday,554,1
897,5,PH1,fatal,499,1
898,22,PL1,dismal,808,1
899,59,NL2,fatal,579,1
